,open,high,low,close,adjusted_close,volume,dividend_amount
2005-02-28,2.2600,2.3200,2.2100,2.2100,0.7704,193396717,0.0000
2005-03-31,2.2200,2.2600,2.1500,2.1500,0.7495,200863614,0.0000
2005-04-29,2.1600,2.2200,2.0600,2.1000,0.7641,226262897,0.0903
2005-05-31,2.1100,2.1500,2.0500,2.0600,0.7496,209774993,0.0000
2005-06-30,2.0600,2.1200,2.0500,2.0800,0.7569,238404952,0.0000
2005-07-29,2.0700,2.2100,2.0400,2.2000,0.8005,187394843,0.0000
2005-08-31,2.2000,2.2900,2.1600,2.2800,0.8296,188175172,0.0000
2005-09-30,2.2800,2.3700,2.2600,2.3200,0.8442,218179215,0.0000
2005-10-31,2.3200,2.3600,2.2500,2.3600,0.8588,230419329,0.0000
2005-11-30,2.3600,2.5400,2.3300,2.5000,0.9097,220443519,0.0000
2005-12-30,2.5000,2.6800,2.4900,2.6000,0.9461,246479752,0.0000
2006-01-31,2.6000,2.8800,2.5800,2.7100,0.9861,415857033,0.0000
2006-02-28,2.6900,2.9900,2.6800,2.9300,1.0662,315826255,0.0000
2006-03-31,2.9400,3.3000,2.9100,3.2400,1.1790,422268014,0.0000
2006-04-28,3.2500,3.3500,3.1000,3.1200,1.1711,360536166,0.0977
2006-05-31,3.1100,3.1800,2.8000,2.8800,1.0810,388740769,0.0000
2006-06-30,2.8800,3.1000,2.8000,3.0700,1.1524,337822496,0.0000
2006-07-31,3.0700,3.1100,2.9300,3.1000,1.1636,362528088,0.0000
2006-08-31,3.0900,3.2000,3.0800,3.1400,1.1786,187357237,0.0000
2006-09-29,3.1300,3.4700,3.0500,3.4200,1.2837,460516169,0.0000
2006-10-31,3.4400,3.6400,3.4200,3.5200,1.3213,422102624,0.0000
2006-11-30,3.5200,3.6600,3.4800,3.5800,1.3438,270408938,0.0000
2006-12-29,3.5800,3.8600,3.5700,3.8400,1.4414,231307314,0.0000
2007-01-31,3.8400,4.0800,3.7900,3.8300,1.4376,474905423,0.0000
2007-02-28,3.8400,4.4100,3.8400,4.1400,1.5540,618042598,0.0000
2007-03-30,4.1400,4.2300,3.9500,4.0200,1.5089,531682197,0.0000
2007-04-30,4.0200,4.1900,3.9900,4.0100,1.5469,289111534,0.1075
2007-05-31,4.0100,4.3500,3.9100,4.2300,1.6318,492441204,0.0000
2007-06-29,4.2500,4.2900,3.9700,4.0900,1.5778,408504543,0.0000
2007-07-31,4.0900,4.2800,4.0900,4.1700,1.6086,393175757,0.0000
2007-08-31,4.1300,4.1800,3.8300,4.0300,1.5546,289343901,0.0000
2007-09-28,4.0300,4.1400,3.8200,4.1000,1.5816,438282807,0.0000
2007-10-31,4.1000,4.4800,4.0800,4.4400,1.7128,433013625,0.0000
2007-11-30,4.4300,5.0000,4.4100,4.6100,1.7784,520244347,0.0000
2007-12-31,4.6000,4.8100,4.3900,4.4700,1.7243,308627780,0.0000
2008-01-31,4.4800,4.7600,3.6700,4.2600,1.6433,456988277,0.0000
2008-02-29,4.3100,4.3900,3.8650,3.8750,1.4948,233345788,0.0000
2008-03-31,3.8400,3.9700,3.5400,3.8400,1.4813,239219690,0.0000
2008-04-30,3.8300,4.1650,3.8200,4.0600,1.5662,178517620,0.0000
2008-05-30,4.1050,4.2200,3.9350,4.0500,1.6111,206490287,0.1222
2008-06-30,4.0350,4.0450,3.2550,3.3150,1.3187,220251151,0.0000
2008-07-31,3.3000,3.6250,3.1650,3.5150,1.3983,223165098,0.0000
2008-08-29,3.4400,3.5150,3.1650,3.4700,1.3804,150340966,0.0000
2008-09-30,3.4390,3.5320,2.6100,2.9390,1.1691,256967459,0.0000
2008-10-31,2.9680,2.9680,2.0620,2.6860,1.0685,362707921,0.0000
2008-11-28,2.6710,2.9800,2.4810,2.6630,1.0593,159468214,0.0000
2008-12-31,2.6600,2.7200,2.2910,2.6950,1.0721,137648995,0.0000
2009-01-30,2.6600,2.8800,2.6240,2.7780,1.1051,111462479,0.0000
2009-02-27,2.7640,2.8200,2.4110,2.5100,0.9985,106730714,0.0000
2009-03-31,2.4940,2.8220,2.3400,2.6130,1.0395,154948772,0.0000
2009-04-30,2.5930,2.8090,2.5660,2.7640,1.0995,118161368,0.0000
2009-05-29,2.7770,2.9330,2.7100,2.8360,1.1848,158771618,0.1368
2009-06-30,2.8520,2.8750,2.6200,2.7930,1.1668,129493262,0.0000
2009-07-31,2.7990,2.8350,2.7220,2.7830,1.1626,121350607,0.0000
2009-08-31,2.7950,3.0290,2.7680,3.0150,1.2596,115283202,0.0000
2009-09-30,3.0250,3.1460,2.9100,3.1300,1.3076,315605967,0.0000
